date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-15,California,State,Alpha,8.0,1.42,7.71428571428,1.49833518313
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027746947836
2021-01-15,California,State,Delta,2.0,0.36,1.0,0.19422863485
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.166481687014
2021-01-15,California,State,Total,563.0,100.0,514.85714285714,100.0
2021-01-15,California,State,Other,239.0,42.45,214.57142857142,41.675915649279
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027746947836
2021-01-16,California,State,Other,328.0,44.87,230.42857142857,42.347072722499
2021-01-16,California,State,Total,731.0,100.0,544.14285714285,100.0
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.157521659228
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026253609871
2021-01-16,California,State,Alpha,17.0,2.33,9.28571428571,1.706484641638
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.131268049357
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026253609871
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Epsilon,386.0,52.8,302.42857142857,55.578892097663
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026253609871
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.715871814282
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.100933636134
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.151400454201
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025233409034
2021-01-17,California,State,Total,312.0,100.0,566.14285714285,100.0
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050466818067
2021-01-17,California,State,Epsilon,180.0,57.69,315.42857142857,55.715367146101
2021-01-17,California,State,Other,128.0,41.03,239.0,42.215493313147
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025233409034
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Epsilon,432.0,58.3,338.85714285714,57.25319816558
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.75,10.42857142857,1.762008206614
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048274197441
2021-01-18,California,State,Total,741.0,100.0,591.85714285714,100.0
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048274197441
2021-01-18,California,State,Other,294.0,39.68,241.14285714285,40.743422640599
2021-01-18,California,State,Delta,2.0,0.27,0.85714285714,0.144822592324
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Delta,1.0,0.08,0.85714285714,0.124947938359
2021-01-19,California,State,Total,1209.0,100.0,686.0,100.0
